country_code	country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
450	Madagascar	48.594	48.494	48.424	48.38	48.351	48.273	48.184	48.068	47.905	47.641	47.344	47.025	46.736	46.486	46.338	46.143	46.376	46.575	46.872	47.197	47.646	48.417	48.315	47.93	47.53	47.158	46.892	46.679	46.418	46.02	45.412	44.77	44.539	44.203	44.075	44.026	43.762	44.112	44.166	44.233	44.467	44.397	44.319	44.329	44.292	44.184	43.769	43.181	42.305	41.475	40.417	39.813	39.09	38.666	38.275	38.015	37.757	37.44	37.05	36.743	36.041	35.063	34.271	33.699	33.079	32.765	32.759	32.477	32.088	31.701	31.343	30.949
454	Malawi	49.201	49.603	50.085	50.534	50.375	50.924	51.447	51.998	52.446	52.964	53.288	53.703	54.016	54.307	54.064	54.05	54.161	54.298	54.342	54.082	53.851	53.619	53.467	53.219	52.984	52.867	52.793	52.747	52.62	52.51	52.641	52.277	51.911	51.312	50.664	50.348	49.911	49.489	48.879	48.266	47.778	47.483	47.232	46.908	46.622	46.324	46.003	46.062	46.188	45.987	45.366	45.192	45.084	45.066	44.961	44.893	44.373	43.609	42.685	41.811	40.825	39.89	38.794	37.85	36.791	35.767	34.824	34.343	33.925	33.598	33.233	32.859
480	Mauritius	42.478	42.085	41.469	41.106	40.546	40.147	39.943	39.907	40.047	40.256	40.432	40.019	39.015	37.852	36.44	34.832	33.059	31.296	29.648	28.171	26.877	26.122	25.708	25.733	25.728	25.469	25.819	25.832	25.76	25.381	24.757	23.882	22.923	22.071	20.92	19.498	18.254	18.764	19.546	20.309	20.842	20.461	20.86	20.24	19.509	18.459	18.193	17.432	16.37	17.346	16.832	16.342	16.459	15.956	15.82	15.261	14.239	13.793	13.116	12.389	12.028	11.851	11.7	10.798	10.73	10.249	10.389	10.613	10.361	10.243	10.37	10.343
175	Mayotte	52.434	51.879	51.463	50.801	50.206	49.489	48.73	48.243	47.809	47.226	46.69	46.064	45.611	45.211	45.049	44.989	45.211	45.624	46.064	46.551	46.829	47.208	47.376	47.652	47.846	48.112	47.933	47.788	47.601	47.531	47.571	47.654	47.649	47.543	47.3	46.991	46.753	46.549	46.321	45.927	45.517	45.049	44.39	43.792	43.132	42.417	41.606	40.622	39.525	38.311	37.052	36.143	35.558	35.011	34.535	35.186	35.846	36.461	35.591	34.779	34.019	33.449	32.985	33.856	35.304	37.508	38.603	38.884	37.546	37.316	34.722	33.71
508	Mozambique	46.662	46.507	46.479	46.399	46.408	46.431	46.416	46.479	46.449	46.89	47.269	47.483	47.679	47.694	47.557	47.435	47.368	47.258	47.217	47.224	47.057	46.817	46.757	46.813	46.978	47.213	47.487	47.815	48.21	48.631	48.718	48.312	47.833	47.655	47.631	47.387	47.202	47.109	46.89	46.735	46.385	45.967	45.563	45.306	44.944	44.546	44.305	44.441	44.198	43.994	43.734	43.395	43.037	42.899	42.315	41.867	41.422	41.105	41.61	41.921	42.013	41.605	41.079	40.548	39.254	38.797	38.437	38.127	37.753	37.345	36.974	36.598
638	Réunion	52.196	51.094	49.59	48.341	47.167	46.139	45.479	44.935	44.634	44.255	43.9	43.413	43.249	42.303	41.202	39.928	38.377	36.557	34.631	33.599	29.62	28.605	27.968	27.259	26.644	26.192	25.391	24.805	24.389	23.941	24.342	23.447	22.644	23.104	23.874	23.722	22.763	22.799	22.9	23.15	23.354	23.065	22.805	21.222	20.517	19.767	19.392	19.853	19.38	19.313	20.418	19.788	19.248	19.122	19.049	19.112	18.584	18.516	18.33	17.542	17.352	17.165	17.202	16.788	16.785	16.779	16.259	15.948	15.435	15.111	14.828	14.562
646	Rwanda	55.44	55.31	55.285	55.156	54.913	54.532	54.144	53.602	53.047	52.385	51.657	50.816	49.845	48.877	48.039	47.501	47.276	47.444	47.841	48.337	48.797	49.107	49.427	49.817	50.126	50.408	50.936	51.233	51.569	52.064	52.182	52.327	52.063	51.502	50.643	49.508	48.591	47.817	46.844	45.662	44.25	43.037	42.442	42.054	41.452	41.012	41.05	41.058	41.208	41.103	40.923	40.765	40.388	40.146	39.889	39.462	38.825	38.005	36.979	35.936	34.836	33.658	32.818	32.407	32.085	31.833	31.659	31.399	31.158	30.776	30.309	29.976
690	Seychelles	32.627	33.296	33.964	34.528	34.262	34.448	34.771	35.229	35.771	36.418	37.068	37.615	37.989	38.194	38.215	37.986	37.497	36.792	35.925	34.916	33.801	32.853	32.187	31.488	31.294	31.398	27.474	26.101	28.554	27.175	28.056	26.974	23.261	24.192	24.952	24.14	24.477	23.873	23.717	23.239	22.385	23.228	21.867	22.439	22.547	20.592	20.276	18.78	18.176	18.173	18.284	17.411	17.664	17.667	17.375	18.452	17.521	18.252	18.701	18.796	17.183	18.252	18.311	17.093	16.771	16.991	17.391	17.35	16.856	16.348	15.823	15.433
706	Somalia	50.466	49.934	49.392	48.891	48.45	48.041	47.678	47.382	47.105	46.841	46.604	46.362	46.168	45.968	45.803	45.669	45.524	45.401	45.305	45.233	45.182	45.198	45.201	45.241	45.321	45.488	45.681	45.838	46.763	47.06	47.314	47.738	48.024	48.255	48.461	48.711	48.871	48.999	49.057	49.159	49.008	49.4	50.214	50.438	50.262	50.145	50.1	50.345	50.194	50.067	49.901	49.72	49.688	49.446	49.232	48.972	48.739	48.466	48.242	47.946	47.696	47.53	47.282	46.995	46.747	46.474	46.156	45.457	44.992	44.564	44.007	43.561
728	South Sudan	46.227	46.752	47.271	47.726	48.119	48.465	48.783	49.083	49.377	49.671	49.956	50.23	50.489	50.822	51.104	51.329	51.651	51.968	52.186	52.345	52.467	52.422	52.254	52.003	51.682	51.355	51.004	50.619	50.202	49.763	49.326	48.927	48.595	50.618	52.199	53.885	54.292	54.116	55.346	55.78	55.467	55.269	55.056	54.767	54.453	54.045	53.897	53.423	52.842	52.306	51.432	50.594	49.484	47.464	45.496	43.519	41.565	40.798	40.691	40.508	40.18	40.255	39.872	39.27	38.48	36.325	35.15	32.651	30.147	29.058	29.166	29.107
