country_code	name	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	last.observed
408	Dem. People's Republic of Korea	19.0008	50.3991	52.96	56.0051	59.0065	61.4931	63.5207	65.1314	65.5618	56.8989	60.1434	65.1831	68.0208	70.2735	2021
392	Japan	60.4042	64.0788	66.5014	68.6815	70.4479	72.6485	74.1212	75.5352	76.2683	77.0654	78.2378	79.096	79.9309	81.0995	2021
496	Mongolia	37.107	39.4495	44.9415	48.941	51.9876	53.4336	53.6538	54.9241	56.9744	58.6182	59.9069	61.6761	64.1385	66.4393	2021
410	Republic of Korea	26.6331	49.5199	53.0439	56.9759	59.334	60.7071	62.6108	65.111	68.5404	70.8861	73.6544	75.9862	77.964	79.8216	2021
5501	Southern Asia	41.8572	44.2178	46.2244	47.372	49.0098	52.4449	54.3823	56.6861	58.7888	60.8102	62.751	64.2575	66.1065	68.4532	2021
4	Afghanistan	27.9482	30.3409	32.8889	35.256	37.7323	39.1667	35.3356	36.9595	46.7853	51.9177	55.259	57.7353	60.2754	60.5419	2021
50	Bangladesh	39.6753	43.5056	46.8392	49.4008	40.007	52.0574	53.5805	55.3917	57.6887	62.3822	65.7465	65.8306	67.4646	69.8666	2021
64	Bhutan	29.7947	31.3825	33.6353	36.712	40.7234	44.8933	48.8946	52.742	56.1975	59.6691	62.6162	65.522	67.8509	69.3877	2021
356	India	42.8446	44.7498	46.311	46.8349	49.7914	52.292	54.4674	56.7189	58.7021	60.6902	62.6007	64.4064	66.4675	69.0995	2021
364	Iran (Islamic Republic of)	40.4357	42.9953	45.6318	48.3637	51.8631	55.6492	55.3716	60.6167	64.54	66.2437	68.0283	70.2317	71.6295	73.272	2021
462	Maldives	36.3503	36.7153	38.946	42.5391	46.9484	51.7426	56.8742	60.767	64.4171	68.3908	72.0526	74.8582	77.8515	79.1942	2021
524	Nepal	37.5013	37.9702	39.0481	41.244	43.4482	45.967	49.0362	52.522	56.3483	59.6917	61.9689	64.3892	65.8382	67.0502	2021
586	Pakistan	38.641	43.6593	47.9809	52.4505	54.0062	56.0561	57.4287	58.6414	59.4957	60.0919	61.6711	61.8643	62.7596	64.0519	2021
144	Sri Lanka	54.2792	56.5754	59.9359	61.2477	63.7237	64.8234	66.887	67.2594	68.3294	67.8843	66.2209	66.7845	69.9248	71.6849	2021
920	South-Eastern Asia	42.1116	46.6127	49.6393	50.3703	52.8324	54.9805	58.8712	61.0648	62.981	64.4832	65.6916	66.9825	68.1625	69.134	2021
96	Brunei Darussalam	50.8235	53.9607	58.1061	62.3645	65.0828	67.4253	68.7613	69.6242	70.3835	71.4925	72.5106	72.9162	72.89	72.789	2021
116	Cambodia	37.9384	39.3751	41.3664	43.2452	33.2123	16.4058	44.4252	49.6213	53.43	54.8132	59.0886	63.7241	66.5367	68.0974	2021
360	Indonesia	39.6218	43.1241	46.4057	46.8388	52.4536	55.2568	58.1207	60.496	62.5826	64.1814	65.1401	66.3775	67.2578	68.144	2021
418	Lao People's Democratic Republic	37.9427	39.1619	39.6178	40.4984	42.5487	44.9407	48.4184	51.0697	53.4957	55.7128	57.7269	60.0953	63.3496	65.5101	2021
458	Malaysia	47.5101	52.4925	57.1483	60.5432	62.8309	65.1902	67.3037	68.7094	69.61	70.138	71.3579	72.1093	72.5963	73.1825	2021
104	Myanmar	35.9257	40.4787	43.4971	47.2033	49.4516	51.1254	52.6855	53.7105	54.821	56.3074	57.7113	58.5807	61.4017	63.0513	2021
608	Philippines	52.8163	56.1581	58.4712	59.8427	60.0496	60.3073	61.0902	62.6647	65.2558	67.1563	68.0777	68.8182	69.2495	69.775	2021
702	Singapore	51.5446	59.3029	63.5038	65.1928	66.4763	68.4289	69.6851	72.0245	72.9381	74.7416	76.7382	78.3504	80.0627	81.1697	2021
764	Thailand	42.4305	46.0161	50.1584	53.2812	56.3357	59.0495	61.6772	65.6533	67.0352	67.9289	69.0822	71.1569	72.735	74.1081	2021
626	Timor-Leste	28.2203	29.5835	31.3568	34.0413	36.258	20.1824	25.5467	31.1497	44.8938	46.3373	58.6924	62.1813	64.5332	66.1915	2021
704	Viet Nam	45.7976	54.1271	55.509	51.8386	49.9082	60.5243	62.7223	64.0893	65.4897	67.1279	68.1231	68.6747	69.0482	69.2905	2021
922	Western Asia	43.3893	46.069	49.2016	52.2443	55.1974	57.7953	59.7512	62.051	64.6807	66.456	68.1004	69.2557	70.4873	71.5401	2021
51	Armenia	56.6017	57.618	58.8137	59.9873	60.9861	61.9742	63.3688	62.2631	65.0431	66.2295	67.2203	67.9643	68.9257	69.9335	2021
31	Azerbaijan	49.6809	50.6482	52.0442	53.5894	55.3111	56.3745	57.6374	58.7597	57.3317	59.1092	62.5571	65.2263	67.0833	69.1356	2021
48	Bahrain	38.2367	44.0846	52.9499	60.1903	65.4736	68.6778	70.5888	71.6724	72.3568	73.3581	74.9207	76.5535	78.1419	78.793	2021
196	Cyprus	54.3298	58.0139	60.2111	64.8486	60.5877	68.7061	69.8158	70.9789	72.3217	73.7631	75.3175	76.6151	78.1338	79.3407	2021
268	Georgia	54.1613	56.0106	57.6351	59.217	60.6658	62.1633	63.5919	64.0324	63.4386	64.6334	65.6371	66.9184	67.8486	68.5905	2021
368	Iraq	39.0789	45.8574	50.9717	54.9035	57.91	60.6466	53.6603	53.2288	60.6656	63.4315	62.691	60.1259	65.3913	68.0477	2021
376	Israel	66.9835	68.1541	69.7463	69.7312	69.5827	70.9097	72.6965	73.9497	75.3147	76.1916	77.3329	78.8999	80.0776	80.697	2021
400	Jordan	42.6871	48.9542	54.2009	58.3475	61.207	64.0075	66.0381	67.6769	68.978	69.8598	70.8212	71.7493	72.53	73.5743	2021
414	Kuwait	48.3301	52.7014	57.9382	62.6357	65.5683	66.9431	70.0705	72.53	73.1129	74.4478	75.5331	75.6263	77.3638	78.3662	2021
422	Lebanon	59.8986	61.0947	63.7221	64.802	65.4599	46.9969	50.7411	56.263	67.3562	71.2681	73.1517	74.7753	76.6986	77.5445	2021
512	Oman	28.7867	31.0377	36.1714	42.3553	47.5803	54.2845	60.9186	65.8352	68.7956	70.7141	72.0383	72.5366	75.6847	76.6253	2021
634	Qatar	51.8053	55.0418	58.9692	63.2553	66.5964	68.9106	70.7081	72.3026	73.6161	74.0761	74.7905	76.1819	78.5191	79.9886	2021
682	Saudi Arabia	40.3063	42.8771	45.5663	48.6965	53.4774	58.6478	63.0665	66.2318	68.6798	70.3881	72.099	73.9114	75.333	76.0293	2021
275	State of Palestine	43.8786	45.4304	47.9694	50.2993	43.6933	58.2181	61.8066	64.6137	67.0073	68.8703	68.4983	70.2105	71.1095	72.7146	2021
760	Syrian Arab Republic	44.4166	49.723	54.3206	57.5726	60.4785	63.8446	63.593	67.9196	68.3835	68.5139	69.7792	71.1352	64.0909	63.786	2021
792	Türkiye	44.9048	46.3544	49.5071	52.4855	55.1384	57.6276	60.4928	63.0203	65.1474	67.0774	69.3551	71.0122	72.6515	74.0846	2021
784	United Arab Emirates	39.5077	43.7359	48.7143	54.6292	60.8537	65.1046	68.0678	69.7823	70.902	71.8058	74.2648	75.9056	77.0889	78.0421	2021
887	Yemen	29.7627	30.3162	31.2296	34.4338	40.0791	45.0943	50.612	54.1286	57.4118	59.2426	61.9703	64.5135	65.3911	62.4334	2021
908	Europe	61.1024	64.2978	65.9604	66.3977	66.5861	66.7824	67.2564	68.6069	68.217	68.765	69.6539	71.5218	73.7157	75.2624	2021
923	Eastern Europe	57.0253	62.3421	64.9004	64.7731	64.167	63.4794	63.1737	64.6495	62.9161	62.3946	62.6562	64.6543	67.4804	69.7169	2021
112	Belarus	57.0918	62.6507	66.4654	67.277	67.2778	66.1402	65.4123	65.843	64.2191	62.7678	63.1975	64.7199	66.8701	69.2287	2021
100	Bulgaria	60.3663	64.6792	68.366	68.9396	68.8857	68.6533	68.5068	68.3028	67.7605	67.4296	68.7234	69.5565	70.866	71.4074	2021
203	Czechia	63.9285	66.7324	67.3604	66.6999	66.4557	67.1142	67.1322	67.7989	68.5848	70.5598	72.0976	73.681	75.0246	76.0581	2021
348	Hungary	61.4218	64.5907	66.4145	66.8824	66.4281	66.3957	65.3203	65.3654	64.8907	66.2736	68.1817	69.3701	71.536	72.6346	2021
616	Poland	57.7591	61.556	65.1228	66.5733	66.704	66.465	66.5827	66.5237	66.6373	68.2496	70.2731	71.1886	72.8082	73.8203	2021
498	Republic of Moldova	52.4707	55.2033	57.7407	59.6579	60.1822	60.7592	61.8859	63.9887	62.828	61.4631	63.3563	64.7771	64.7776	65.6966	2021
642	Romania	60.9046	61.4742	64.7615	65.6605	65.8608	66.6185	66.3501	65.9964	66.1246	66.0009	67.0023	68.9138	71.0943	72.1541	2021
643	Russian Federation	53.9135	61.4771	63.6382	63.0507	62.156	60.907	60.6786	63.2919	60.4175	59.4265	59.0057	61.6674	64.9666	67.8033	2021
703	Slovakia	61.8105	66.2876	68.3296	67.6118	66.7813	66.9205	66.7651	66.9853	67.271	68.6051	69.7035	70.7043	72.5614	73.7764	2021
804	Ukraine	59.3303	63.508	66.595	66.0853	65.0577	64.3279	63.801	65.2583	63.3224	62.1068	62.6285	63.4836	66.6093	68.9999	2021
924	Northern Europe	66.8013	67.8626	68.2907	68.7258	69.0516	69.6727	70.6851	71.6136	72.4843	73.6425	75.1467	76.5762	78.1956	79.0091	2021
208	Denmark	69.6386	70.4397	70.4268	70.5446	70.8941	71.3431	71.4359	71.8246	72.4973	73.5061	74.8965	76.2893	77.9949	79.0992	2021
233	Estonia	63.1232	64.2266	65.3429	65.5876	65.3305	64.2338	64.0358	65.1828	63.4339	64.4686	66.2739	68.518	71.739	73.6244	2021
234	Faroe Islands	59.3867	67.062	70.8322	71.8485	72.8652	73.6088	73.6311	72.6809	71.1506	74.364	75.6481	75.4198	76.8367	77.8564	2021
246	Finland	62.7003	64.6427	65.4941	65.7602	66.5382	68.1136	69.9974	70.6112	71.8046	73.3451	74.8537	76.0497	77.5235	78.8055	2021
831	Guernsey	68.4112	69.2894	68.8196	69.3106	70.1002	70.9772	72.2188	73.8632	74.7841	76.1998	77.6491	79.6605	80.632	80.5297	2021
352	Iceland	69.8743	70.7784	71.0096	71.0856	71.2503	73.4759	73.704	74.9631	76.169	76.7483	78.5664	79.5331	80.5364	80.9239	2021
372	Ireland	65.3842	67.3124	68.242	68.6274	68.7661	69.3592	70.386	71.3403	72.5489	73.2205	75.0361	77.2047	78.7644	80.0844	2021
833	Isle of Man	58.8533	60.5044	58.8063	60.1785	60.7719	62.5108	64.6039	66.0736	68.5346	70.7388	73.4375	76.2865	77.094	78.2948	2021
832	Jersey	67.1491	67.5261	67.2364	68.3106	67.13	67.9469	70.7539	73.327	74.4596	75.6739	76.7154	78.0679	78.5195	78.4967	2021
428	Latvia	64.9173	65.6003	66.5696	66.1242	65.2222	63.7929	63.6666	64.9741	62.0684	62.9228	64.8466	65.966	68.7343	70.2309	2021
440	Lithuania	62.9093	64.2791	67.2653	67.5139	66.7963	65.838	65.3809	66.3453	64.2256	64.993	66.3721	66.2723	68.7952	70.5306	2021
578	Norway	70.8854	71.4524	71.1195	71.1796	71.3191	72.1232	72.691	72.933	74.1497	75.3674	76.6356	78.2288	79.4289	80.8605	2021
